order_id,customer_id,customer_age,customer_gender,customer_country,customer_segment,is_repeat_customer,order_date,ship_date,delivery_date,order_status,product_id,product_name,brand,category,unit_price,quantity,discount_percent,discount_amount,subtotal,tax_rate,tax_amount,shipping_cost,total_amount,payment_method,shipping_method,product_rating,review_count,is_returned
ORD-100001,CUST-68878,56,Male,Japan,Silver,1,2021-06-28,2021-07-04,2021-07-05,Delivered,PROD-5557,T-Shirt,Levi's,Clothing,81.01,3,0,0.0,243.03,0.12,29.16,12.99,285.18,Apple Pay,In-Store Pickup,1.9,4139,0
ORD-100002,CUST-92397,34,Male,Brazil,Gold,0,2021-07-29,2021-07-30,2021-08-06,Delivered,PROD-6925,Headphones,Lenovo,Electronics,870.41,3,5,130.56,2611.23,0.15,372.1,4.99,2857.76,Debit Card,Free Shipping,4.4,4945,0
ORD-100003,CUST-80010,28,Non-Binary,France,Silver,0,2023-02-18,2023-02-22,2023-03-02,Shipped,PROD-5010,Self-Help Book,Penguin,Books,54.58,5,0,0.0,272.9,0.14,38.21,0,311.11,Apple Pay,Overnight,,2988,0
ORD-100004,CUST-44718,54,Non-Binary,Australia,Silver,1,2022-04-15,2022-04-15,2022-04-28,Delivered,PROD-3287,Bedsheet,Cuisinart,Home & Kitchen,172.91,9,5,77.81,1556.19,0.12,177.41,0,1655.79,Cryptocurrency,Free Shipping,2.1,1728,0
ORD-100005,CUST-60432,73,Male,Canada,Bronze,1,2023-01-12,2023-01-15,2023-01-18,Delivered,PROD-7252,Fantasy Novel,Simon & Schuster,Books,24.7,10,20,49.4,247.0,0.14,27.66,7.99,233.25,PayPal,Free Shipping,1.4,385,0
ORD-100006,CUST-93748,64,Non-Binary,Japan,Gold,0,2022-07-01,2022-07-06,2022-07-08,Delivered,PROD-9317,Floor Mats,WeatherTech,Automotive,291.6,1,0,0.0,291.6,0.12,34.99,12.99,339.58,PayPal,In-Store Pickup,1.6,26,0
ORD-100007,CUST-79822,33,Male,Australia,Bronze,1,2022-10-26,2022-11-02,2022-11-03,Delivered,PROD-3060,Science Textbook,Macmillan,Books,62.18,9,30,167.89,559.62,0.14,54.84,12.99,459.56,Debit Card,Standard,2.5,2519,0
ORD-100008,CUST-12757,46,Prefer not to say,United Kingdom,Gold,0,2024-11-13,2024-11-16,2024-11-28,Delivered,PROD-4770,Bedsheet,Whirlpool,Home & Kitchen,111.59,9,20,200.86,1004.31,0.15,120.52,12.99,936.96,Apple Pay,Express,5.0,3059,0
ORD-100009,CUST-34957,52,Female,Mexico,Platinum,1,2022-11-08,2022-11-09,2022-11-18,Delivered,PROD-2545,Fiction Novel,HarperCollins,Books,58.08,1,5,2.9,58.08,0.06,3.31,0,58.49,Cryptocurrency,Express,3.7,1755,0
ORD-100010,CUST-46509,33,Female,Australia,Silver,1,2021-07-21,2021-07-21,2021-07-28,Shipped,PROD-8579,Shorts,Puma,Clothing,132.83,8,0,0.0,1062.64,0.12,127.52,19.99,1210.15,Cryptocurrency,Express,,895,0
ORD-100011,CUST-59672,44,Prefer not to say,Brazil,Silver,0,2021-01-31,2021-02-01,2021-02-14,Processing,PROD-1035,Self-Help Book,Pearson,Books,65.59,9,0,0.0,590.31,0.06,35.42,12.99,638.72,Apple Pay,Free Shipping,,1362,0
ORD-100012,CUST-17455,65,Non-Binary,United States,Silver,1,2022-03-22,2022-03-22,2022-04-01,Shipped,PROD-9320,Remote Control Car,Melissa & Doug,Toys & Games,77.02,9,25,173.29,693.18,0.07,36.39,4.99,561.27,Credit Card,In-Store Pickup,,499,0
ORD-100013,CUST-61876,51,Non-Binary,Germany,Gold,0,2022-05-20,2022-05-20,2022-05-30,Delivered,PROD-3144,Jacket,Adidas,Clothing,182.55,4,20,146.04,730.2,0.06,35.05,12.99,632.2,Apple Pay,Overnight,3.6,4630,0
ORD-100014,CUST-81200,74,Male,Australia,Platinum,0,2021-07-24,2021-07-25,2021-08-03,Delivered,PROD-5956,Water Bottle,Fitbit,Sports & Fitness,372.31,2,0,0.0,744.62,0.1,74.46,12.99,832.07,Bank Transfer,Overnight,2.1,2859,0
ORD-100015,CUST-93136,31,Non-Binary,Japan,Bronze,0,2024-02-08,2024-02-10,2024-02-15,Delivered,PROD-7939,Mouse,Dell,Electronics,2331.43,2,0,0.0,4662.86,0.08,373.03,0,5035.89,Cryptocurrency,Overnight,1.8,2808,0
ORD-100016,CUST-50404,52,Male,France,Bronze,0,2024-02-04,2024-02-10,2024-02-19,Delivered,PROD-6974,Yoga Mat,Nike,Sports & Fitness,140.08,3,10,42.02,420.24,0.07,26.48,7.99,412.69,PayPal,Free Shipping,1.3,1221,0
ORD-100017,CUST-44970,74,Prefer not to say,United States,Silver,1,2024-06-25,2024-06-27,2024-07-01,Cancelled,PROD-3608,Camera,LG,Electronics,1714.69,2,15,514.41,3429.38,0.13,378.95,7.99,3301.91,PayPal,Overnight,,1450,0
ORD-100018,CUST-46585,32,Male,Australia,Bronze,1,2022-12-18,2022-12-22,2023-01-05,Processing,PROD-6753,Shorts,Nike,Clothing,258.98,4,5,51.8,1035.92,0.13,127.94,7.99,1120.05,Gift Card,Overnight,,1864,0
ORD-100019,CUST-10221,45,Male,India,Platinum,0,2021-03-20,2021-03-21,2021-03-31,Delivered,PROD-9518,Chess Set,Nerf,Toys & Games,235.29,2,10,47.06,470.58,0.07,29.65,4.99,458.16,Apple Pay,Overnight,3.9,2569,0
ORD-100020,CUST-63225,53,Female,Australia,Gold,0,2022-09-08,2022-09-12,2022-09-23,Delivered,PROD-9977,Children's Book,Wiley,Books,10.24,6,15,9.22,61.44,0.12,6.27,0,58.49,Gift Card,Free Shipping,2.6,2422,0
ORD-100021,CUST-39444,60,Male,Germany,Gold,0,2024-10-15,2024-10-18,2024-10-27,Delivered,PROD-4262,Smartwatch,Dell,Electronics,549.14,10,15,823.71,5491.4,0.1,466.77,7.99,5142.45,Bank Transfer,Standard,4.6,1390,0
ORD-100022,CUST-33053,43,Female,Canada,Silver,1,2024-03-24,2024-03-27,2024-04-08,Shipped,PROD-9486,Blender,Philips,Home & Kitchen,158.22,8,0,0.0,1265.76,0.1,126.58,19.99,1412.33,Credit Card,Standard,,4049,0
ORD-100023,CUST-93579,45,Prefer not to say,Canada,Silver,1,2024-09-29,2024-10-04,2024-10-17,Cancelled,PROD-5543,Car Phone Mount,AutoBot,Automotive,82.26,2,25,41.13,164.52,0.06,7.4,7.99,138.78,Cryptocurrency,Free Shipping,,4135,0
ORD-100024,CUST-64496,63,Female,United Kingdom,Platinum,1,2024-01-12,2024-01-13,2024-01-16,Delivered,PROD-2020,Air Freshener,WeatherTech,Automotive,137.55,5,5,34.39,687.75,0.08,52.27,4.99,710.62,Gift Card,Free Shipping,2.5,1251,0
ORD-100025,CUST-67125,66,Prefer not to say,India,Gold,0,2023-02-19,2023-02-26,2023-02-27,Returned,PROD-8956,Business Book,Wiley,Books,72.85,10,0,0.0,728.5,0.14,101.99,12.99,843.48,Apple Pay,Free Shipping,,2446,1
ORD-100026,CUST-59689,59,Prefer not to say,Canada,Gold,0,2024-06-28,2024-06-28,2024-07-05,Delivered,PROD-6363,Monitor,HP,Electronics,1682.11,7,0,0.0,11774.77,0.13,1530.72,0,13305.49,Cryptocurrency,Express,3.7,687,0
ORD-100027,CUST-91439,32,Male,United States,Bronze,0,2022-06-01,2022-06-02,2022-06-10,Delivered,PROD-3496,History Book,Macmillan,Books,30.3,7,10,21.21,212.1,0.13,24.82,7.99,223.7,Credit Card,Express,3.2,2866,0
ORD-100028,CUST-85470,67,Female,Germany,Gold,0,2023-01-26,2023-01-28,2023-02-07,Shipped,PROD-7149,Science Textbook,Pearson,Books,55.2,10,5,27.6,552.0,0.1,52.44,4.99,581.83,Debit Card,In-Store Pickup,,938,0
ORD-100029,CUST-65057,40,Prefer not to say,France,Bronze,1,2024-11-02,2024-11-03,2024-11-16,Pending,PROD-9031,Puzzle,Hasbro,Toys & Games,151.28,4,0,0.0,605.12,0.12,72.61,4.99,682.72,Debit Card,In-Store Pickup,,336,0
ORD-100030,CUST-42177,67,Prefer not to say,Brazil,Gold,1,2023-12-05,2023-12-09,2023-12-19,Processing,PROD-2419,Shorts,Puma,Clothing,194.31,8,0,0.0,1554.48,0.09,139.9,19.99,1714.37,Gift Card,In-Store Pickup,,4408,0
ORD-100031,CUST-41635,35,Non-Binary,Japan,Bronze,0,2022-10-28,2022-10-30,2022-11-07,Delivered,PROD-7658,Water Bottle,Reebok,Sports & Fitness,302.68,10,20,605.36,3026.8,0.08,193.72,7.99,2623.15,Credit Card,In-Store Pickup,4.2,2788,0
