employee_id,age,gender,marital_status,country,education_level,years_of_experience,department,job_title,employment_type,remote_work,hire_date,tenure_years,base_salary,bonus_percent,bonus_amount,total_compensation,performance_rating,job_satisfaction_score,engagement_score,work_life_balance_score,manager_rating,overtime,trainings_completed,promotions_received,absences_days,attrition,attrition_reason
EMP-100001,60,Female,Married,India,Associate Degree,5,Legal,Attorney,Part-Time,Hybrid,2015-08-20,9.4,139354.65,20,27870.93,167225.58,Exceeds Expectations,3.2,4.8,3.0,2.7,Yes,5,3,27,No,Still Employed
EMP-100002,58,Female,Single,Brazil,High School,10,Marketing,Brand Manager,Full-Time,No,2010-12-16,14.1,70409.88,0,0.0,70409.88,Meets Expectations,2.5,4.7,1.3,3.1,Yes,0,2,4,No,Still Employed
EMP-100003,54,Female,Single,United Kingdom,Associate Degree,21,Marketing,Brand Manager,Full-Time,Yes,2020-08-16,4.4,132579.71,15,19886.96,152466.67,Needs Improvement,2.7,1.3,2.2,1.0,No,6,1,28,No,Still Employed
EMP-100004,38,Prefer not to say,Divorced,Brazil,Associate Degree,12,Engineering,Senior Engineer,Contract,No,2012-12-08,12.1,140783.11,25,35195.78,175978.89,Exceeds Expectations,4.0,3.4,2.6,1.4,Yes,2,3,4,No,Still Employed
EMP-100005,36,Prefer not to say,Single,Australia,Bachelor's Degree,13,Product,UX Designer,Full-Time,No,2011-08-17,13.4,105184.93,0,0.0,105184.93,Exceeds Expectations,1.2,1.9,2.6,4.3,No,5,4,2,No,Still Employed
EMP-100006,50,Prefer not to say,Married,Germany,Bachelor's Degree,7,Engineering,Tech Lead,Full-Time,No,2017-01-15,8.0,62790.59,25,15697.65,78488.24,Exceeds Expectations,2.0,2.2,4.0,1.3,No,4,0,16,No,Still Employed
EMP-100007,38,Female,Widowed,UAE,Bachelor's Degree,13,Operations,COO,Full-Time,No,2018-07-02,6.5,131736.37,20,26347.27,158083.64,Outstanding,3.5,3.9,1.8,2.3,Yes,10,2,22,No,Still Employed
EMP-100008,48,Non-Binary,Widowed,Australia,Associate Degree,23,HR,Recruiter,Full-Time,Hybrid,2010-01-30,14.9,46849.82,20,9369.96,56219.78,Meets Expectations,3.1,4.8,4.9,5.0,No,4,5,27,No,Still Employed
EMP-100009,34,Non-Binary,Single,Germany,High School,11,Customer Support,Customer Success,Full-Time,Hybrid,2010-09-19,14.3,174170.69,15,26125.6,200296.29,Meets Expectations,4.9,3.5,3.8,3.3,Yes,6,3,25,Yes,Laid Off
EMP-100010,50,Female,Widowed,Singapore,Master's Degree,27,Operations,Supply Chain Manager,Remote,No,2014-01-05,11.0,83975.88,5,4198.79,88174.67,Meets Expectations,3.3,4.6,2.5,4.3,No,10,3,21,Yes,Resigned
EMP-100011,55,Prefer not to say,Divorced,Brazil,High School,0,Product,Product Analyst,Full-Time,No,2010-02-02,14.9,115442.69,20,23088.54,138531.23,Meets Expectations,1.0,2.3,2.0,1.5,Yes,0,2,16,No,Still Employed
EMP-100012,25,Prefer not to say,Married,United Kingdom,Associate Degree,3,Finance,Accountant,Full-Time,Hybrid,2016-02-13,8.9,71323.64,10,7132.36,78456.0,Needs Improvement,4.7,4.1,1.7,2.4,Yes,1,5,4,No,Still Employed
EMP-100013,24,Male,Married,Australia,Master's Degree,2,Marketing,CMO,Contract,Yes,2015-03-12,9.8,122247.6,20,24449.52,146697.12,Meets Expectations,4.1,4.6,4.2,2.7,No,1,1,15,No,Still Employed
EMP-100014,46,Female,Married,UAE,High School,21,Product,Product Manager,Full-Time,No,2023-07-07,1.5,161129.43,0,0.0,161129.43,Outstanding,1.6,4.6,1.7,2.8,No,0,4,12,Yes,Terminated
EMP-100015,57,Non-Binary,Single,Brazil,Bachelor's Degree,9,Marketing,Marketing Analyst,Full-Time,No,2011-08-16,13.4,36044.21,5,1802.21,37846.42,Exceeds Expectations,2.3,2.3,2.3,4.3,Yes,4,4,7,No,Still Employed
EMP-100016,48,Prefer not to say,Married,Singapore,Associate Degree,16,Engineering,Tech Lead,Full-Time,Yes,2011-03-24,13.8,61824.43,25,15456.11,77280.54,Meets Expectations,4.4,1.4,1.0,4.8,Yes,2,5,9,Yes,Retired
EMP-100017,31,Prefer not to say,Widowed,Brazil,High School,0,Marketing,CMO,Full-Time,No,2023-03-12,1.8,64997.46,15,9749.62,74747.08,Meets Expectations,4.7,1.4,3.0,1.9,No,1,3,19,No,Still Employed
EMP-100018,37,Prefer not to say,Married,Singapore,Bachelor's Degree,5,Marketing,Content Strategist,Full-Time,No,2021-04-25,3.7,167561.85,20,33512.37,201074.22,Needs Improvement,2.0,1.9,3.8,2.6,Yes,5,4,10,No,Still Employed
EMP-100019,49,Male,Married,United States,Bachelor's Degree,1,Sales,Sales Representative,Full-Time,No,2014-02-25,10.9,70233.98,25,17558.49,87792.47,Meets Expectations,3.3,2.2,3.9,1.5,No,4,4,8,No,Still Employed
EMP-100020,36,Non-Binary,Single,France,PhD,2,Engineering,Software Engineer,Full-Time,Hybrid,2017-02-17,7.9,163477.32,5,8173.87,171651.19,Exceeds Expectations,4.1,1.1,1.7,1.9,No,1,5,0,No,Still Employed
EMP-100021,53,Non-Binary,Widowed,Singapore,PhD,13,Legal,Legal Counsel,Contract,No,2015-11-24,9.1,79062.11,10,7906.21,86968.32,Exceeds Expectations,2.1,2.0,4.7,1.9,No,4,2,19,No,Still Employed
EMP-100022,55,Prefer not to say,Divorced,United Kingdom,PhD,0,HR,Compensation Analyst,Part-Time,No,2012-09-26,12.3,140656.13,10,14065.61,154721.74,Meets Expectations,4.8,4.2,2.8,4.2,No,3,4,22,No,Still Employed
EMP-100023,35,Prefer not to say,Divorced,Brazil,PhD,1,Sales,Sales Manager,Part-Time,Hybrid,2017-08-04,7.4,179417.71,0,0.0,179417.71,Exceeds Expectations,1.2,1.3,1.5,2.6,No,10,4,18,Yes,Resigned
EMP-100024,62,Female,Widowed,Germany,High School,3,Operations,Supply Chain Manager,Full-Time,No,2013-01-09,12.0,152842.94,25,38210.74,191053.68,Meets Expectations,1.7,2.7,2.2,1.7,No,1,0,8,No,Still Employed
EMP-100025,39,Female,Single,Germany,High School,3,Finance,CFO,Full-Time,No,2012-11-18,12.1,163263.59,20,32652.72,195916.31,Meets Expectations,4.4,4.4,3.0,4.3,No,10,1,14,No,Still Employed
EMP-100026,54,Female,Divorced,UAE,PhD,7,HR,HR Manager,Full-Time,No,2015-02-01,9.9,113367.82,5,5668.39,119036.21,Exceeds Expectations,2.4,4.1,2.6,4.2,Yes,6,3,3,Yes,Terminated
EMP-100027,34,Non-Binary,Divorced,Germany,Associate Degree,1,Sales,Account Executive,Full-Time,No,2022-06-13,2.6,131491.33,5,6574.57,138065.9,Needs Improvement,1.4,1.1,4.4,2.2,No,7,5,30,No,Still Employed
EMP-100028,35,Non-Binary,Single,Australia,Associate Degree,5,Product,Head of Product,Full-Time,No,2022-05-30,2.6,171483.44,5,8574.17,180057.61,Outstanding,4.2,3.5,3.4,3.9,Yes,8,1,23,No,Still Employed
EMP-100029,23,Male,Married,France,Associate Degree,1,Product,UX Designer,Full-Time,Hybrid,2021-12-22,3.0,77934.61,25,19483.65,97418.26,Exceeds Expectations,4.3,1.7,2.3,4.8,Yes,4,0,21,No,Still Employed
EMP-100030,24,Female,Widowed,France,High School,0,Legal,Paralegal,Full-Time,Yes,2022-03-16,2.8,111719.39,10,11171.94,122891.33,Exceeds Expectations,4.3,2.5,1.4,1.8,No,4,5,3,No,Still Employed
EMP-100031,59,Non-Binary,Single,UAE,PhD,7,Operations,COO,Full-Time,No,2016-06-28,8.5,179095.9,10,17909.59,197005.49,Meets Expectations,1.5,3.7,4.9,1.5,Yes,8,2,4,No,Still Employed
EMP-100032,38,Female,Widowed,United Kingdom,Master's Degree,9,Product,Head of Product,Contract,Yes,2017-10-02,7.3,34407.62,15,5161.14,39568.76,Meets Expectations,3.6,3.0,2.2,4.1,Yes,1,2,17,No,Still Employed
EMP-100033,26,Male,Single,Brazil,Associate Degree,0,Operations,Process Analyst,Full-Time,Yes,2021-10-08,3.2,144301.11,15,21645.17,165946.28,Exceeds Expectations,1.0,3.9,3.4,1.6,No,2,4,14,No,Still Employed
EMP-100034,41,Male,Married,UAE,High School,1,Data Science,Data Analyst,Full-Time,Hybrid,2018-05-01,6.7,170731.92,15,25609.79,196341.71,Exceeds Expectations,2.1,2.4,4.6,3.8,Yes,9,2,17,No,Still Employed
EMP-100035,54,Female,Single,France,Master's Degree,8,Legal,Compliance Officer,Part-Time,Hybrid,2015-11-03,9.2,173703.92,10,17370.39,191074.31,Meets Expectations,3.2,4.1,1.1,2.0,Yes,0,1,16,No,Still Employed
EMP-100036,47,Non-Binary,Married,Germany,Master's Degree,11,Finance,CFO,Full-Time,No,2013-09-21,11.3,30907.15,20,6181.43,37088.58,Meets Expectations,2.1,4.4,3.5,3.9,Yes,2,5,19,Yes,Laid Off
EMP-100037,51,Female,Single,France,PhD,6,Product,Head of Product,Remote,Yes,2019-07-02,5.5,109795.51,10,10979.55,120775.06,Outstanding,3.8,1.4,4.9,4.0,No,3,5,13,No,Still Employed
EMP-100038,33,Male,Single,Brazil,High School,0,HR,HR Manager,Full-Time,No,2015-11-15,9.1,95656.08,20,19131.22,114787.3,Needs Improvement,1.7,3.2,3.5,3.4,No,2,4,29,Yes,Retired
EMP-100039,51,Prefer not to say,Widowed,UAE,Master's Degree,5,Marketing,Brand Manager,Full-Time,No,2022-01-06,3.0,97003.07,15,14550.46,111553.53,Exceeds Expectations,2.9,4.9,4.6,2.8,Yes,0,3,13,No,Still Employed
EMP-100040,30,Female,Widowed,Singapore,PhD,1,Operations,Operations Analyst,Contract,Hybrid,2010-01-03,15.0,46946.98,20,9389.4,56336.38,Exceeds Expectations,1.5,1.9,4.1,1.1,Yes,3,0,6,No,Still Employed
EMP-100041,55,Female,Married,Brazil,High School,24,Data Science,Data Scientist,Full-Time,Hybrid,2017-11-27,7.1,154300.07,10,15430.01,169730.08,Outstanding,2.4,2.2,3.6,1.4,Yes,3,3,29,No,Still Employed
EMP-100042,52,Female,Widowed,Brazil,Bachelor's Degree,10,Operations,Logistics Coordinator,Full-Time,No,2010-08-23,14.4,68248.48,20,13649.7,81898.18,Needs Improvement,1.4,4.7,4.8,3.8,No,0,1,11,No,Still Employed
EMP-100043,42,Non-Binary,Married,UAE,Master's Degree,8,Data Science,ML Engineer,Contract,No,2016-12-04,8.1,155276.77,20,31055.35,186332.12,Needs Improvement,3.7,1.3,1.3,1.8,No,5,1,27,No,Still Employed
EMP-100044,57,Non-Binary,Single,Australia,Associate Degree,12,Marketing,CMO,Full-Time,Yes,2018-06-16,6.5,70285.6,25,17571.4,87857.0,Exceeds Expectations,1.7,3.8,4.1,3.7,Yes,4,2,15,Yes,Terminated
EMP-100045,37,Non-Binary,Single,Canada,Associate Degree,10,Finance,CFO,Full-Time,No,2012-07-14,12.5,153730.26,0,0.0,153730.26,Exceeds Expectations,1.7,3.5,3.7,2.3,No,9,1,6,No,Still Employed
EMP-100046,48,Non-Binary,Married,Germany,Master's Degree,6,Product,Product Owner,Full-Time,No,2014-11-27,10.1,161191.95,15,24178.79,185370.74,Exceeds Expectations,1.8,3.2,3.9,1.7,Yes,6,0,2,Yes,Resigned
EMP-100047,26,Male,Single,Germany,High School,0,HR,HR Coordinator,Part-Time,Hybrid,2018-05-01,6.7,146886.73,5,7344.34,154231.07,Meets Expectations,3.4,2.7,2.9,3.1,No,5,1,22,No,Still Employed
EMP-100048,62,Male,Single,Singapore,Associate Degree,6,Finance,Controller,Full-Time,Hybrid,2015-04-13,9.7,121834.05,0,0.0,121834.05,Meets Expectations,3.2,4.0,1.5,1.7,Yes,2,1,4,Yes,Laid Off
EMP-100049,27,Non-Binary,Single,UAE,Associate Degree,1,Sales,VP of Sales,Full-Time,No,2023-08-23,1.4,98063.52,10,9806.35,107869.87,Exceeds Expectations,4.9,3.1,1.5,4.1,No,7,1,25,No,Still Employed
EMP-100050,26,Male,Married,Singapore,PhD,1,Sales,Account Executive,Full-Time,Yes,2023-02-18,1.9,92878.67,25,23219.67,116098.34,Meets Expectations,1.1,2.5,3.7,4.5,Yes,3,4,23,No,Still Employed
