User_ID,Age,Gender,Daily_Screen_Time_Hours,Preferred_App,Addiction_Level
1,36,Male,1.3,Twitter,Low
2,23,Male,2.5,YouTube,Low
3,37,Male,7.5,Instagram,High
4,16,Male,3.4,Instagram,Medium
5,33,Male,8.9,Snapchat,High
6,23,Female,7.5,Instagram,High
7,40,Male,8.7,Facebook,High
8,24,Male,3.4,Facebook,Medium
9,19,Male,5.2,Facebook,Medium
10,43,Female,7.6,Instagram,High
11,39,Female,6.9,Snapchat,Medium
12,18,Female,10.1,Facebook,High
13,34,Male,8.8,Instagram,High
14,37,Male,9.5,YouTube,High
15,43,Male,10.5,Snapchat,High
16,24,Female,8.0,Facebook,High
17,21,Female,4.9,Twitter,Medium
18,38,Male,7.7,WhatsApp,High
19,33,Male,2.8,Snapchat,Low
20,24,Male,8.5,Instagram,High
21,23,Male,9.9,Snapchat,High
22,24,Male,3.3,Facebook,Medium
23,22,Female,5.4,Telegram,Medium
24,20,Female,2.5,Twitter,Low
25,39,Female,10.9,Snapchat,High
26,27,Male,12.0,WhatsApp,High
27,32,Female,2.0,Instagram,Low
28,43,Male,2.7,WhatsApp,Low
29,41,Female,7.6,Snapchat,High
30,28,Female,6.8,Instagram,Medium
31,37,Male,8.5,Twitter,High
32,40,Female,2.2,Snapchat,Low
33,21,Female,1.0,Twitter,Low
34,32,Male,6.6,YouTube,Medium
35,43,Female,10.3,Netflix,High
36,20,Female,9.4,Instagram,High
37,35,Female,6.4,YouTube,Medium
38,45,Female,10.7,Twitter,High
39,23,Male,3.6,YouTube,Medium
40,18,Female,10.0,WhatsApp,High
41,20,Female,11.4,WhatsApp,High
42,24,Female,11.6,Netflix,High
43,38,Female,5.4,Facebook,Medium
44,30,Female,2.3,Netflix,Low
45,18,Female,1.2,Netflix,Low
46,34,Male,1.1,Instagram,Low
47,23,Male,11.0,Facebook,High
48,18,Male,4.1,Telegram,Medium
49,22,Male,9.0,Telegram,High
50,23,Female,9.9,Netflix,High
51,19,Male,8.2,Facebook,High
52,29,Female,6.1,Instagram,Medium
53,37,Male,1.7,Facebook,Low
54,41,Male,3.7,Netflix,Medium
55,33,Female,2.5,WhatsApp,Low
56,24,Female,3.7,YouTube,Medium
57,30,Male,1.6,Instagram,Low
58,18,Male,2.8,Telegram,Low
59,31,Male,10.5,Instagram,High
60,21,Female,1.0,Snapchat,Low
61,24,Female,4.1,Telegram,Medium
62,20,Male,4.3,Instagram,Medium
63,34,Male,9.2,Instagram,High
64,17,Female,6.5,WhatsApp,Medium
65,17,Male,10.4,YouTube,High
66,35,Male,8.4,Netflix,High
67,28,Male,11.4,Netflix,High
68,34,Male,7.8,Snapchat,High
69,37,Female,11.3,Netflix,High
70,37,Female,3.6,Snapchat,Medium
71,20,Female,6.0,YouTube,Medium
72,16,Female,7.8,YouTube,High
73,18,Male,6.6,WhatsApp,Medium
74,45,Female,10.7,Netflix,High
75,27,Female,2.7,Twitter,Low
76,35,Male,8.3,Twitter,High
77,45,Male,11.3,WhatsApp,High
78,24,Male,10.8,WhatsApp,High
79,24,Female,7.7,Facebook,High
80,22,Female,6.6,Twitter,Medium
81,44,Male,2.0,Snapchat,Low
82,42,Female,1.5,Facebook,Low
83,40,Male,8.0,Twitter,High
84,21,Female,7.1,Snapchat,High
85,33,Male,2.2,WhatsApp,Low
86,33,Male,10.2,WhatsApp,High
87,29,Male,1.5,Facebook,Low
88,44,Male,10.9,Netflix,High
89,37,Male,8.3,Facebook,High
90,40,Female,11.7,WhatsApp,High
91,45,Male,10.5,WhatsApp,High
92,44,Female,1.3,Facebook,Low
93,41,Female,9.8,Netflix,High
94,24,Male,9.7,YouTube,High
95,28,Male,10.4,Netflix,High
96,22,Female,4.8,Netflix,Medium
97,23,Male,8.3,Snapchat,High
98,26,Female,10.5,Twitter,High
99,27,Female,8.5,Facebook,High
100,16,Male,10.6,Twitter,High
101,21,Female,1.4,Snapchat,Low
102,27,Female,5.8,YouTube,Medium
103,28,Male,3.8,Snapchat,Medium
104,16,Male,5.0,YouTube,Medium
105,37,Female,7.9,YouTube,High
106,39,Female,6.6,Snapchat,Medium
107,26,Female,8.7,WhatsApp,High
108,22,Female,8.3,Snapchat,High
109,37,Male,7.8,Twitter,High
110,28,Male,4.3,Netflix,Medium
111,29,Female,6.1,Telegram,Medium
112,37,Male,6.6,WhatsApp,Medium
113,37,Male,4.1,Facebook,Medium
114,18,Male,8.4,Netflix,High
115,41,Male,2.6,Instagram,Low
116,23,Female,7.7,YouTube,High
117,30,Female,10.7,Netflix,High
118,38,Female,6.4,Netflix,Medium
119,20,Male,10.8,YouTube,High
120,40,Female,3.4,Telegram,Medium
121,17,Male,11.1,YouTube,High
122,30,Male,9.8,Facebook,High
123,40,Female,7.7,Snapchat,High
124,42,Female,10.9,Telegram,High
125,30,Female,9.3,Twitter,High
126,40,Female,7.9,Twitter,High
127,30,Male,8.8,Netflix,High
128,24,Female,4.5,YouTube,Medium
129,20,Male,3.5,WhatsApp,Medium
130,38,Male,1.7,Snapchat,Low
131,26,Female,5.6,Netflix,Medium
132,42,Female,5.3,Instagram,Medium
133,43,Female,6.2,Facebook,Medium
134,25,Female,10.4,Snapchat,High
135,33,Male,6.4,Twitter,Medium
136,29,Female,1.3,Facebook,Low
137,37,Female,9.0,Telegram,High
138,45,Male,11.8,Instagram,High
139,45,Female,7.5,Instagram,High
140,18,Female,2.5,Telegram,Low
141,21,Male,3.9,Facebook,Medium
142,22,Female,4.6,Snapchat,Medium
143,24,Female,3.8,YouTube,Medium
144,31,Male,9.2,Instagram,High
145,27,Male,8.2,Instagram,High
146,40,Male,11.4,Netflix,High
147,42,Male,7.8,Netflix,High
148,20,Female,8.4,Netflix,High
149,30,Female,9.4,WhatsApp,High
150,35,Male,9.6,WhatsApp,High
151,25,Male,7.4,Twitter,High
152,34,Female,5.4,Netflix,Medium
